Comparações_AVL	Tamanho_AVL	Comparações_ABB	Tamanho_ABB
15	4897	17	4897
17	53506	30	53506
17	31090	16	31090
16	17365	19	17365
17	43498	23	43498
15	30720	30	30720
16	35151	27	35151
13	2979	14	2979
11	25614	18	25614
15	57103	28	57103
14	4579	15	4579
16	11856	17	11856
15	37207	24	37207
16	12305	22	12305
13	20041	18	20041
15	33904	31	33904
16	18566	18	18566
16	57063	23	57063
15	26031	19	26031
18	69334	22	69334
15	4682	15	4682
16	55776	20	55776
14	52746	9	52746
15	44974	21	44974
14	43406	23	43406
13	3426	10	3426
16	58728	23	58728
16	54717	26	54717
15	18932	13	18932
16	42205	22	42205
15	40759	13	40759
15	23828	23	23828
11	2062	11	2062
14	1848	10	1848
17	17545	27	17545
18	45560	26	45560
12	8920	20	8920
16	29047	25	29047
13	24890	18	24890
13	34533	25	34533
17	62502	26	62502
15	29468	15	29468
16	46389	21	46389
14	29708	22	29708
17	41772	11	41772
14	42781	19	42781
14	39964	18	39964
14	60338	24	60338
17	29843	27	29843
18	65994	24	65994
14	36023	26	36023
17	28122	24	28122
16	18768	22	18768
12	32201	21	32201
12	1527	14	1527
17	68546	22	68546
14	20929	24	20929
15	17477	14	17477
16	39485	22	39485
14	17656	16	17656
17	41547	21	41547
16	51553	29	51553
14	11552	22	11552
18	63458	24	63458
17	60472	30	60472
14	40599	20	40599
14	18347	23	18347
14	25004	17	25004
15	33100	16	33100
14	1392	14	1392
15	39159	24	39159
18	65938	20	65938
14	20524	18	20524
13	9122	16	9122
14	32627	24	32627
15	26719	23	26719
17	51468	18	51468
16	68650	22	68650
16	37594	17	37594
9	9589	20	9589
14	17417	11	17417
18	46147	22	46147
14	57467	19	57467
16	15962	19	15962
15	43427	17	43427
16	43710	23	43710
11	9790	17	9790
14	12911	24	12911
15	47062	22	47062
14	27446	17	27446
15	30809	25	30809
16	28614	26	28614
16	38997	20	38997
16	24266	25	24266
17	65437	20	65437
16	55947	19	55947
16	18965	18	18965
14	20441	22	20441
16	65398	23	65398
16	66779	27	66779
16	39068	27	39068
16	18708	13	18708
17	20030	18	20030
13	1695	7	1695
15	45426	20	45426
17	47849	23	47849
8	344	9	344
17	59371	20	59371
16	33789	14	33789
15	17760	16	17760
15	21256	20	21256
18	10074	16	10074
16	55295	18	55295
18	64965	23	64965
16	66215	33	66215
16	68206	25	68206
14	18378	18	18378
15	23660	19	23660
17	5366	20	5366
14	23344	28	23344
15	39009	21	39009
13	5984	16	5984
15	18780	17	18780
11	1307	14	1307
12	24948	20	24948
17	15572	23	15572
16	66705	20	66705
17	68078	15	68078
17	13756	20	13756
13	7613	13	7613
16	37145	27	37145
16	32463	26	32463
14	3994	22	3994
16	15191	24	15191
16	54240	19	54240
17	51843	16	51843
15	15534	25	15534
14	19962	19	19962
14	15631	22	15631
15	31831	15	31831
15	13238	22	13238
12	19719	23	19719
16	17125	25	17125
15	8202	16	8202
17	15933	14	15933
19	61682	28	61682
16	2932	13	2932
16	15945	16	15945
16	43400	18	43400
14	2627	19	2627
14	31305	26	31305
15	49383	23	49383
19	67758	18	67758
16	32611	17	32611
17	50682	19	50682
17	13330	21	13330
13	5667	16	5667
16	48759	19	48759
16	27085	20	27085
16	59631	18	59631
16	62255	21	62255
15	35899	33	35899
14	63625	19	63625
15	7446	20	7446
14	20138	22	20138
16	21819	18	21819
16	69331	14	69331
14	16451	18	16451
13	13801	24	13801
13	8976	18	8976
17	27039	19	27039
12	5046	16	5046
16	41758	22	41758
14	11592	17	11592
15	20979	25	20979
15	33439	19	33439
16	60875	20	60875
13	13275	24	13275
16	6838	15	6838
14	63501	23	63501
15	44579	15	44579
16	32572	24	32572
17	37611	21	37611
18	53541	16	53541
14	13253	23	13253
15	50940	23	50940
16	35560	31	35560
16	54376	14	54376
15	25190	16	25190
13	6970	15	6970
18	66626	20	66626
17	65166	22	65166
12	14415	21	14415
17	63115	21	63115
16	63336	18	63336
16	60097	28	60097
15	9565	15	9565
17	7137	21	7137
17	69073	22	69073
16	57846	24	57846
17	10527	16	10527
14	4118	16	4118
15	5955	14	5955
16	68470	16	68470
10	1448	16	1448
15	39393	24	39393
17	59345	28	59345
14	14722	14	14722
16	22583	17	22583
16	29197	24	29197
16	35652	22	35652
16	55154	24	55154
17	66807	17	66807
19	65545	25	65545
17	44759	21	44759
18	24098	18	24098
16	7456	18	7456
16	13121	14	13121
18	54825	16	54825
16	32645	19	32645
15	20090	15	20090
15	51450	22	51450
17	4163	18	4163
15	44564	21	44564
17	67498	23	67498
12	953	17	953
18	54129	16	54129
17	50986	21	50986
17	46377	21	46377
18	18326	17	18326
15	37864	22	37864
15	50494	23	50494
15	36334	21	36334
17	28294	20	28294
16	40024	28	40024
13	2030	20	2030
17	19367	27	19367
17	38958	20	38958
17	31226	19	31226
18	31371	25	31371
10	464	19	464
15	4385	16	4385
16	45222	27	45222
16	28482	23	28482
13	34370	28	34370
13	34694	16	34694
15	59659	22	59659
14	43366	17	43366
18	31136	18	31136
17	41108	18	41108
16	41991	16	41991
17	62024	17	62024
13	21378	24	21378
14	19295	23	19295
14	22504	20	22504
11	2363	16	2363
15	42023	24	42023
15	16579	16	16579
16	22517	22	22517
16	41460	21	41460
17	52912	23	52912
15	27162	22	27162
16	57835	24	57835
15	54941	26	54941
14	46528	20	46528
16	26793	16	26793
15	62518	18	62518
16	7898	14	7898
9	3608	17	3608
17	66902	20	66902
11	11164	13	11164
16	48829	19	48829
10	1736	8	1736
16	21885	18	21885
17	59874	14	59874
17	61394	21	61394
18	65251	20	65251
16	21009	24	21009
16	8853	19	8853
15	19130	30	19130
16	39352	26	39352
9	876	14	876
17	40507	24	40507
16	34998	20	34998
15	19222	23	19222
15	7021	20	7021
17	40559	21	40559
15	35800	21	35800
14	5889	16	5889
17	58370	20	58370
17	65063	23	65063
15	33050	26	33050
16	22557	17	22557
14	50003	17	50003
14	9577	13	9577
15	25701	19	25701
14	42520	16	42520
18	63827	24	63827
14	29308	21	29308
15	39422	21	39422
14	4990	14	4990
18	54488	29	54488
15	17509	13	17509
16	26875	22	26875
15	44361	23	44361
18	8902	12	8902
17	68477	16	68477
16	41722	20	41722
17	64106	21	64106
16	17606	21	17606
17	11073	21	11073
16	64982	26	64982
14	34465	22	34465
18	46070	25	46070
15	64712	24	64712
17	53686	19	53686
15	53090	26	53090
17	35271	24	35271
19	65837	22	65837
16	58978	19	58978
16	69992	12	69992
17	60899	28	60899
15	22027	15	22027
16	22548	21	22548
12	17253	19	17253
15	7956	22	7956
16	59772	27	59772
17	48134	22	48134
17	7555	22	7555
11	5545	21	5545
18	29475	14	29475
17	38394	26	38394
16	69405	30	69405
14	56349	18	56349
16	12755	20	12755
13	8306	16	8306
14	31177	17	31177
17	54476	21	54476
15	2412	15	2412
16	41900	23	41900
17	43745	14	43745
16	59599	28	59599
16	17969	15	17969
17	38456	28	38456
16	43284	25	43284
15	47411	20	47411
15	50078	26	50078
16	15472	23	15472
17	36388	20	36388
16	26422	19	26422
15	6370	19	6370
14	34767	21	34767
17	48969	31	48969
16	23622	29	23622
13	19074	14	19074
14	3569	15	3569
17	59745	24	59745
17	67207	19	67207
16	57475	19	57475
16	41642	23	41642
15	26681	16	26681
16	25869	24	25869
14	41046	24	41046
16	59382	16	59382
14	38623	20	38623
15	25704	17	25704
17	20558	24	20558
17	69450	17	69450
13	4467	16	4467
16	45692	20	45692
15	41349	29	41349
14	48211	17	48211
15	35290	18	35290
15	35669	24	35669
16	63018	27	63018
16	54925	15	54925
15	13079	18	13079
15	19448	15	19448
16	46748	19	46748
15	25819	23	25819
16	45869	22	45869
17	53117	24	53117
15	36937	26	36937
15	1189	12	1189
15	32362	18	32362
15	4757	20	4757
12	19187	17	19187
12	5920	18	5920
15	62232	22	62232
16	37180	28	37180
16	8952	15	8952
15	18100	22	18100
11	8225	21	8225
16	44685	18	44685
17	33074	21	33074
10	10280	22	10280
15	41595	24	41595
15	8875	22	8875
18	14746	16	14746
17	17286	24	17286
13	26575	27	26575
14	39308	20	39308
14	28928	23	28928
16	38595	16	38595
13	8678	28	8678
14	60204	25	60204
16	51674	17	51674
15	28125	22	28125
15	36952	26	36952
16	50345	21	50345
17	66420	21	66420
17	67132	21	67132
16	51533	24	51533
15	25862	19	25862
14	5845	21	5845
15	32642	17	32642
13	21400	22	21400
16	24873	18	24873
16	58579	22	58579
14	20715	17	20715
14	19324	17	19324
17	43155	30	43155
17	65400	30	65400
16	28749	26	28749
16	29787	26	29787
16	36994	20	36994
18	37623	30	37623
15	20884	20	20884
15	30631	18	30631
17	64197	27	64197
16	60192	19	60192
16	35910	20	35910
14	32791	25	32791
16	45221	18	45221
13	2466	15	2466
17	60816	16	60816
17	49697	17	49697
13	15769	17	15769
17	21011	24	21011
15	30041	13	30041
17	58540	23	58540
17	64494	21	64494
16	57925	26	57925
15	14401	21	14401
4	338	10	338
15	20566	22	20566
15	12152	12	12152
14	12101	16	12101
10	730	11	730
14	9168	19	9168
15	20237	24	20237
17	50919	22	50919
17	69861	22	69861
16	50023	19	50023
16	64264	19	64264
17	37483	26	37483
16	906	18	906
15	24894	19	24894
13	8031	16	8031
15	37449	21	37449
18	37156	27	37156
16	17174	21	17174
16	12669	19	12669
16	15973	15	15973
16	54341	25	54341
17	38717	20	38717
16	31741	23	31741
18	51704	23	51704
17	68757	24	68757
15	20280	20	20280
17	46197	19	46197
17	33034	17	33034
13	11033	16	11033
18	46535	23	46535
16	23184	17	23184
15	34987	13	34987
14	5389	18	5389
16	266	10	266
15	44154	17	44154
14	46501	20	46501
15	25072	13	25072
16	46362	20	46362
17	46876	16	46876
16	19335	21	19335
16	60196	26	60196
17	47781	21	47781
15	20581	23	20581
15	61582	21	61582
18	34088	14	34088
18	61752	19	61752
17	50602	22	50602
17	50060	25	50060
15	22444	18	22444
17	19319	24	19319
16	11800	19	11800
11	4147	18	4147
16	64427	18	64427
9	8431	20	8431
15	27460	19	27460
16	19463	19	19463
13	3230	22	3230
17	57411	23	57411
15	42647	20	42647
15	38216	17	38216
16	62799	24	62799
17	19264	22	19264
15	58722	18	58722
16	39299	19	39299
16	39765	19	39765
18	60145	21	60145
17	62012	17	62012
16	62992	19	62992
17	9480	23	9480
15	28560	33	28560
16	17124	16	17124
15	3138	20	3138
11	8705	21	8705
14	16851	19	16851
17	41241	25	41241
14	35659	19	35659
15	66910	23	66910
15	63684	19	63684
16	54977	32	54977
16	55061	22	55061
17	67831	26	67831
17	25755	23	25755
16	63491	23	63491
16	29567	20	29567
15	12954	23	12954
18	27755	16	27755
14	16977	19	16977
15	42322	23	42322
15	9775	17	9775
17	51215	27	51215
15	31043	24	31043
15	25425	20	25425
16	67331	23	67331
14	21188	26	21188
16	63789	18	63789
17	60322	14	60322
11	7019	22	7019
14	22348	21	22348
17	7445	19	7445
16	59782	22	59782
9	1837	16	1837
11	6632	21	6632
15	43077	21	43077
17	28160	18	28160
11	3541	7	3541
14	13112	17	13112
16	59488	17	59488
17	34953	28	34953
17	57294	24	57294
15	15242	23	15242
15	28443	27	28443
15	44808	16	44808
16	17748	23	17748
17	15925	24	15925
17	61784	22	61784
16	26051	21	26051
17	58247	20	58247
16	47910	21	47910
15	7265	17	7265
15	19289	21	19289
18	49687	21	49687
16	50947	29	50947
15	16828	26	16828
18	43475	23	43475
14	17620	23	17620
17	23846	22	23846
15	65822	19	65822
15	25065	21	25065
15	44010	24	44010
16	63918	18	63918
18	66610	21	66610
15	17086	18	17086
15	22077	19	22077
16	46502	20	46502
17	6549	17	6549
15	11564	13	11564
13	11454	17	11454
18	63843	17	63843
14	3157	16	3157
16	39897	24	39897
16	5661	22	5661
17	47965	22	47965
15	33996	21	33996
18	67938	18	67938
15	16100	18	16100
17	60047	19	60047
16	56184	24	56184
17	64010	24	64010
16	43663	23	43663
16	51824	31	51824
15	24610	17	24610
18	68652	20	68652
16	63522	22	63522
16	42229	18	42229
16	35695	18	35695
16	43645	26	43645
15	58828	23	58828
14	9704	18	9704
15	37562	14	37562
18	55437	23	55437
13	3141	14	3141
18	59638	18	59638
15	31939	23	31939
13	9689	18	9689
15	47553	27	47553
14	19744	23	19744
11	3531	9	3531
18	50710	30	50710
15	59640	24	59640
17	55544	26	55544
14	5026	18	5026
16	69988	20	69988
16	53481	23	53481
15	21125	22	21125
15	60034	23	60034
16	16016	17	16016
17	61486	28	61486
17	33696	21	33696
17	67839	30	67839
14	11533	18	11533
17	34657	21	34657
17	42842	18	42842
16	51406	24	51406
16	53238	18	53238
16	18043	20	18043
16	17100	24	17100
16	26882	23	26882
11	6870	16	6870
17	26803	24	26803
15	40796	21	40796
17	38658	28	38658
16	29943	19	29943
8	6785	13	6785
16	46948	17	46948
15	15984	26	15984
16	54338	17	54338
17	66692	24	66692
16	19514	22	19514
16	32683	22	32683
17	51409	27	51409
13	16424	19	16424
15	32670	16	32670
13	11241	16	11241
15	13900	25	13900
17	69055	18	69055
15	51738	15	51738
15	9103	16	9103
17	47799	26	47799
14	43759	22	43759
15	20640	25	20640
16	44676	18	44676
15	3348	18	3348
16	15034	17	15034
17	38127	24	38127
14	6582	18	6582
14	21903	24	21903
16	64930	19	64930
18	47377	22	47377
15	36913	22	36913
11	1224	16	1224
16	54161	17	54161
13	13860	15	13860
14	17207	13	17207
16	14850	22	14850
17	56903	28	56903
14	13073	15	13073
14	2600	15	2600
13	19586	20	19586
14	40833	16	40833
14	19023	13	19023
16	28607	13	28607
16	28426	18	28426
12	9275	25	9275
16	27662	24	27662
18	32033	18	32033
16	61012	16	61012
14	36764	15	36764
12	9831	20	9831
16	30633	14	30633
16	56874	20	56874
16	6823	21	6823
17	51660	16	51660
17	36574	22	36574
15	19787	17	19787
13	20111	21	20111
18	61068	20	61068
16	20531	25	20531
17	57023	20	57023
12	38643	18	38643
15	51043	22	51043
16	47234	29	47234
16	55850	21	55850
13	42245	23	42245
15	34137	16	34137
15	45274	20	45274
16	44844	25	44844
16	30074	22	30074
16	16106	21	16106
16	40219	26	40219
18	58680	20	58680
14	20883	14	20883
16	25845	20	25845
17	62693	23	62693
16	52916	22	52916
16	16856	11	16856
16	5808	19	5808
16	39098	24	39098
16	23840	16	23840
16	39034	28	39034
17	45920	18	45920
15	51852	15	51852
15	5607	16	5607
14	44128	14	44128
14	1638	18	1638
15	48761	23	48761
17	40590	20	40590
16	39057	22	39057
13	27612	11	27612
15	7699	14	7699
14	3037	13	3037
18	51197	20	51197
17	39900	18	39900
15	45281	23	45281
13	15333	15	15333
15	15173	14	15173
17	66477	20	66477
15	21758	16	21758
14	7631	14	7631
17	13047	25	13047
16	10438	21	10438
16	28513	23	28513
16	38891	23	38891
16	49482	14	49482
17	57780	22	57780
16	55746	22	55746
18	55290	18	55290
16	26878	21	26878
17	55937	18	55937
17	24323	19	24323
16	49149	25	49149
17	37788	17	37788
14	29929	14	29929
16	23276	19	23276
16	15777	21	15777
15	55041	16	55041
16	63865	18	63865
16	54833	25	54833
14	7035	17	7035
16	67828	19	67828
16	62532	23	62532
16	10071	20	10071
16	49025	21	49025
15	8783	13	8783
16	31704	26	31704
16	40709	23	40709
15	23956	26	23956
16	28180	19	28180
17	62467	20	62467
13	7938	17	7938
16	41226	13	41226
16	49256	21	49256
17	36450	21	36450
16	10116	22	10116
18	28737	22	28737
15	24230	28	24230
16	42213	20	42213
15	14026	18	14026
18	27459	21	27459
13	4501	16	4501
13	14700	21	14700
15	6607	21	6607
16	42289	22	42289
14	20980	16	20980
17	29883	19	29883
15	58065	25	58065
12	99	10	99
16	19250	18	19250
16	13054	20	13054
17	44279	23	44279
17	58133	24	58133
15	23125	25	23125
14	23303	17	23303
18	66915	19	66915
16	31180	15	31180
17	40363	25	40363
17	59359	16	59359
15	32829	27	32829
14	5159	17	5159
15	6936	23	6936
15	12084	25	12084
16	17961	22	17961
16	17051	25	17051
14	17173	21	17173
16	18542	16	18542
14	35615	24	35615
14	31198	19	31198
16	46000	17	46000
16	40115	24	40115
15	22250	17	22250
17	52606	20	52606
16	58755	18	58755
17	43229	16	43229
16	58840	25	58840
15	23172	18	23172
16	49249	24	49249
17	35291	23	35291
14	42421	19	42421
16	38654	17	38654
15	9569	25	9569
17	6905	15	6905
18	61778	24	61778
15	9223	20	9223
13	3819	24	3819
13	22957	20	22957
16	49585	25	49585
10	1041	16	1041
16	58667	28	58667
13	12414	19	12414
17	52551	26	52551
16	65602	23	65602
12	849	12	849
12	511	12	511
18	59004	22	59004
14	18021	17	18021
15	19052	17	19052
14	970	16	970
16	25571	15	25571
14	41403	31	41403
16	17437	16	17437
17	47820	17	47820
15	24009	21	24009
15	6191	27	6191
15	21048	22	21048
16	59200	19	59200
15	5714	18	5714
16	46648	22	46648
15	24490	12	24490
16	15302	12	15302
15	34058	19	34058
15	55038	19	55038
17	53431	27	53431
16	43280	24	43280
14	35209	24	35209
17	52740	14	52740
17	22865	24	22865
17	12601	28	12601
16	41406	15	41406
16	11630	18	11630
17	65151	18	65151
16	13360	19	13360
14	58830	26	58830
16	42014	18	42014
16	48715	21	48715
18	53203	17	53203
14	37417	14	37417
16	49685	29	49685
16	55125	21	55125
15	8820	20	8820
16	67121	24	67121
14	9296	21	9296
15	9180	24	9180
16	49663	22	49663
16	30343	27	30343
17	68379	20	68379
13	55377	29	55377
17	53343	19	53343
15	22869	19	22869
15	9862	25	9862
15	44996	20	44996
17	33278	18	33278
14	41252	18	41252
17	52910	19	52910
14	6460	18	6460
17	57517	16	57517
16	52126	20	52126
15	5275	12	5275
15	40107	13	40107
16	60562	24	60562
13	28936	27	28936
16	32575	27	32575
18	67348	32	67348
16	23384	20	23384
17	43614	20	43614
13	8811	16	8811
15	66856	23	66856
16	52909	24	52909
14	17990	22	17990
14	46519	23	46519
16	59604	22	59604
17	62720	17	62720
14	8247	16	8247
16	42946	23	42946
15	18108	23	18108
16	17941	20	17941
16	25218	24	25218
16	35711	26	35711
16	8127	13	8127
16	42170	18	42170
16	10235	19	10235
15	60252	27	60252
16	37581	23	37581
15	30358	22	30358
16	28143	19	28143
17	34142	21	34142
17	35645	17	35645
14	37069	19	37069
13	7841	18	7841
16	24135	20	24135
16	37060	19	37060
14	7577	20	7577
16	67748	25	67748
14	22222	16	22222
13	4432	11	4432
15	50657	26	50657
15	40211	22	40211
15	27302	17	27302
16	40260	17	40260
16	32931	20	32931
15	11900	19	11900
15	59557	19	59557
16	24870	22	24870
14	6360	20	6360
17	50087	27	50087
15	42070	23	42070
16	30214	18	30214
16	34565	18	34565
15	60592	29	60592
13	16800	21	16800
12	1168	12	1168
12	32308	26	32308
15	31525	19	31525
15	32666	20	32666
16	42801	18	42801
17	67170	23	67170
17	69735	21	69735
15	50642	27	50642
17	67656	16	67656
16	36794	20	36794
15	34570	17	34570
15	65403	19	65403
15	59016	27	59016
14	15353	16	15353
17	46059	27	46059
15	5578	11	5578
15	42655	27	42655
16	62670	23	62670
15	14860	12	14860
13	30906	22	30906
17	52226	22	52226
17	16082	22	16082
17	37265	20	37265
16	36074	25	36074
16	66168	15	66168
13	9335	21	9335
17	42640	23	42640
16	7085	24	7085
17	69926	25	69926
16	59439	21	59439
15	8252	19	8252
12	4449	13	4449
14	21747	18	21747
16	39777	22	39777
13	37115	12	37115
19	64547	22	64547
15	13298	17	13298
15	21540	11	21540
15	10953	21	10953
15	26346	21	26346
17	32461	17	32461
16	52707	21	52707
13	61713	25	61713
15	47814	13	47814
14	5118	16	5118
15	43643	24	43643
15	20468	24	20468
19	67787	20	67787
16	58502	25	58502
16	27725	20	27725
17	26365	16	26365
14	4583	12	4583
17	64990	28	64990
16	62438	18	62438
16	47103	22	47103
14	4324	11	4324
16	35077	23	35077
16	54187	23	54187
16	50601	18	50601
12	868	11	868
15	38790	21	38790
17	31401	27	31401
13	22614	23	22614
15	54918	25	54918
15	44867	21	44867
17	63512	15	63512
17	44567	28	44567
19	58067	19	58067
15	61404	22	61404
12	31871	17	31871
16	14413	22	14413
13	23864	20	23864
14	14578	22	14578
19	52477	28	52477
14	1677	12	1677
14	19695	19	19695
16	26119	20	26119
17	63833	19	63833
17	14621	24	14621
15	26221	13	26221
13	20197	23	20197
16	65555	18	65555
14	21210	21	21210
16	58987	26	58987
15	42657	26	42657
10	1885	15	1885
17	415	13	415
13	3195	15	3195
16	28837	22	28837
16	1282	19	1282
15	41985	24	41985
17	60237	19	60237
16	247	9	247
13	3254	19	3254
14	35104	19	35104
16	40111	22	40111
16	47821	21	47821
16	69522	25	69522
17	31514	21	31514
16	60286	14	60286
18	31729	21	31729
15	24268	21	24268
16	42763	28	42763
17	33406	16	33406
15	20314	22	20314
14	8253	17	8253
14	14147	18	14147
16	59853	29	59853
16	10825	22	10825
15	10695	17	10695
14	55408	19	55408
15	8386	25	8386
15	69681	23	69681
15	4416	17	4416
17	56622	22	56622
9	96	8	96
14	15458	20	15458
10	1377	16	1377
12	2299	23	2299
16	52047	16	52047
9	1624	14	1624
14	5552	16	5552
16	63502	23	63502
17	41734	25	41734
17	53372	19	53372
15	39375	20	39375
16	49599	24	49599
16	39415	19	39415
14	29661	21	29661
15	11327	22	11327
18	63682	15	63682
16	48775	17	48775
15	21084	11	21084
14	60348	21	60348
17	47655	22	47655
14	5689	17	5689
15	4494	16	4494
15	16513	12	16513
16	15188	19	15188
17	69267	24	69267
11	1251	13	1251
16	61221	17	61221
16	50034	17	50034
17	57872	22	57872
18	61316	18	61316
15	49682	30	49682
17	62692	23	62692
13	12646	24	12646
16	8080	23	8080
17	40667	19	40667
15	18198	17	18198
14	1581	16	1581
17	58752	16	58752
16	47921	22	47921
15	17307	21	17307
14	38350	17	38350
13	17335	18	17335
18	46967	28	46967
18	26029	15	26029
16	57369	25	57369
16	25741	24	25741
17	47112	24	47112
15	49748	26	49748
16	29152	24	29152
15	28561	23	28561
16	63607	17	63607
18	45665	13	45665
15	20100	21	20100
15	39225	19	39225
15	46915	19	46915
15	11320	12	11320
14	19258	20	19258
15	11138	22	11138
15	29606	18	29606
15	60819	22	60819
16	41679	23	41679
17	42251	21	42251
14	45250	26	45250
15	58697	19	58697
16	36800	21	36800
17	46830	21	46830
15	47449	26	47449
12	14721	18	14721
17	40489	15	40489
16	62150	26	62150
12	8407	17	8407
14	17455	21	17455
12	18178	18	18178
17	65775	21	65775
15	19548	18	19548
16	19842	21	19842
19	69295	25	69295
14	793	6	793
13	24754	25	24754
18	62901	19	62901
14	22809	16	22809
15	21206	16	21206
15	8477	20	8477
14	46075	22	46075
16	32525	17	32525
14	27734	25	27734
15	57213	28	57213
18	57864	16	57864
18	57339	12	57339
15	24383	23	24383
15	29542	18	29542
17	69633	20	69633
15	64590	23	64590
15	42741	28	42741
14	22814	18	22814
15	42038	24	42038
17	57461	20	57461
18	63302	24	63302
17	10540	16	10540
17	42220	22	42220
16	57109	25	57109
14	28717	20	28717
15	14346	21	14346
15	6656	18	6656
16	46710	23	46710
16	34188	22	34188
13	5950	25	5950
16	35293	18	35293
16	45202	18	45202
8	311	7	311
18	56498	18	56498
16	53678	22	53678
15	46386	24	46386
16	65375	21	65375
17	57763	19	57763
16	9950	12	9950
14	21454	18	21454
15	34332	15	34332
16	59131	12	59131
16	27395	13	27395
16	10316	20	10316
17	53720	24	53720
16	46487	24	46487
15	33130	22	33130
16	2110	13	2110
16	10300	19	10300
16	26431	26	26431
14	59001	19	59001
18	52519	21	52519
15	13539	10	13539
16	64069	21	64069
17	66546	21	66546
15	40779	21	40779
14	7403	16	7403
12	2495	9	2495
18	64633	24	64633
17	42696	23	42696
14	24048	21	24048
15	41295	21	41295
17	54077	26	54077
15	64032	20	64032
16	47271	17	47271
14	18192	16	18192
14	3981	14	3981
16	30508	23	30508
15	14665	19	14665
17	65990	20	65990
16	43391	16	43391
14	24980	27	24980
17	26062	17	26062
17	66229	21	66229
15	58109	27	58109
16	28171	22	28171
17	60892	20	60892
16	63523	24	63523
17	59046	20	59046
17	50782	22	50782
18	57591	23	57591
15	32262	20	32262
16	47328	26	47328
16	28369	12	28369
17	39664	25	39664
16	26174	18	26174
13	23001	12	23001
14	58711	23	58711
16	26574	14	26574
16	40608	23	40608
15	57002	17	57002
16	58327	22	58327
14	17878	21	17878
14	5193	18	5193
16	38660	21	38660
16	24738	20	24738
18	21189	23	21189
17	53324	20	53324
16	20727	14	20727
17	40931	17	40931
16	8303	20	8303
15	23140	13	23140
17	37160	14	37160
15	42764	14	42764
15	20039	16	20039
14	10007	18	10007
13	21184	22	21184
12	9085	24	9085
18	60788	14	60788
16	8775	19	8775
13	17698	19	17698
16	38115	20	38115
18	37143	20	37143
13	33713	10	33713
15	40641	25	40641
15	36496	22	36496
16	22424	17	22424
17	67214	22	67214
17	30791	19	30791
15	54215	27	54215
18	65469	20	65469
17	57260	22	57260
17	35760	19	35760
15	10480	17	10480
12	11997	28	11997
17	56948	20	56948
17	63803	22	63803
14	9076	13	9076
15	4231	19	4231
16	48458	17	48458
14	32215	23	32215
17	41390	21	41390
16	67573	25	67573
17	59877	20	59877
18	61428	22	61428
13	7579	8	7579
16	11060	24	11060
16	46864	16	46864
18	68366	21	68366
16	19834	23	19834
18	64561	26	64561
14	12833	19	12833
14	33329	23	33329
16	28274	20	28274
17	53473	31	53473
17	69824	15	69824
11	27049	20	27049
16	27038	22	27038
16	6966	24	6966
17	66431	21	66431
16	57604	22	57604
16	48786	20	48786
17	30042	16	30042
15	23363	16	23363
17	59266	18	59266
16	42039	23	42039
17	56663	30	56663
15	53068	19	53068
17	27466	23	27466
18	60893	23	60893
17	7877	16	7877
16	36032	27	36032
16	8634	27	8634
13	5449	15	5449
11	2260	12	2260
15	46413	30	46413
16	13027	16	13027
17	59672	20	59672
16	69629	20	69629
17	57745	19	57745
14	9505	22	9505
14	40541	19	40541
10	577	15	577
13	19185	17	19185
17	68814	22	68814
14	30401	16	30401
15	19008	23	19008
11	2214	16	2214
18	33790	20	33790
16	2325	21	2325
16	21393	23	21393
18	51111	21	51111
17	5038	16	5038
16	21108	27	21108
16	40376	20	40376
18	23428	21	23428
12	7770	17	7770
13	23443	21	23443
15	27245	15	27245
15	45014	17	45014
14	7672	17	7672
17	63276	21	63276
14	13120	24	13120
16	65536	28	65536
16	30059	19	30059
16	26147	23	26147
15	55207	23	55207
12	13891	23	13891
18	41063	24	41063
11	228	14	228
16	36600	22	36600
16	45393	21	45393
15	21219	20	21219
15	31959	16	31959
15	23959	21	23959
14	31360	21	31360
15	34284	22	34284
17	68954	25	68954
16	15394	21	15394
17	50343	17	50343
11	3859	17	3859
17	3770	15	3770
18	57980	14	57980
17	55563	20	55563
14	7366	20	7366
14	32993	27	32993
17	39586	17	39586
16	62991	26	62991
18	52706	17	52706
15	42529	26	42529
17	69402	25	69402
16	8852	15	8852
12	4087	14	4087
13	5440	20	5440
17	69094	21	69094
15	21501	19	21501
15	52019	27	52019
17	36264	32	36264
16	58100	25	58100
18	3764	21	3764
14	33834	20	33834
14	20059	10	20059
15	27722	22	27722
14	65193	21	65193
17	30694	20	30694
12	3027	20	3027
15	47944	21	47944
14	46087	18	46087
15	29722	16	29722
16	28155	23	28155
16	8207	19	8207
16	9843	24	9843
17	16134	20	16134
15	40121	28	40121
18	17209	25	17209
15	25479	22	25479
11	9707	16	9707
14	17850	16	17850
15	18469	23	18469
16	38764	28	38764
15	36730	14	36730
16	17870	25	17870
16	23967	23	23967
17	40816	28	40816
16	23060	19	23060
16	38668	25	38668
10	5328	20	5328
15	59323	10	59323
14	26768	23	26768
15	9091	19	9091
14	23156	13	23156
16	23178	23	23178
10	13164	16	13164
18	64700	20	64700
14	53871	26	53871
15	62543	29	62543
16	42643	23	42643
14	6309	20	6309
14	22264	19	22264
16	47149	17	47149
16	14515	21	14515
15	32106	27	32106
16	39635	28	39635
14	30987	12	30987
16	49314	20	49314
18	65113	17	65113
