Comparações_AVL	Tamanho_AVL	Comparações_ABB	Tamanho_ABB
18	26971	19	26971
14	15571	19	15571
15	26786	17	26786
16	61273	20	61273
15	32031	19	32031
13	36212	25	36212
18	58670	24	58670
18	60099	25	60099
15	12050	24	12050
16	56781	24	56781
17	52627	25	52627
16	24549	18	24549
14	25279	15	25279
17	45591	28	45591
14	56010	18	56010
16	59593	17	59593
11	4272	19	4272
17	33622	20	33622
15	47786	20	47786
15	36214	27	36214
15	50128	17	50128
14	5818	16	5818
15	59838	21	59838
15	23486	21	23486
16	61529	24	61529
17	43846	18	43846
13	14723	20	14723
16	47831	18	47831
15	18018	17	18018
16	22156	14	22156
16	16143	22	16143
18	44988	25	44988
14	14078	18	14078
13	19281	24	19281
14	12612	19	12612
15	46108	18	46108
17	55492	30	55492
17	1281	15	1281
16	36207	22	36207
16	43894	21	43894
17	58061	26	58061
17	65185	18	65185
17	68442	27	68442
17	59691	22	59691
16	40775	29	40775
16	54451	22	54451
18	25635	19	25635
18	45046	22	45046
18	64425	22	64425
13	3420	11	3420
16	57612	27	57612
15	20904	24	20904
13	9237	18	9237
14	23801	21	23801
16	44389	18	44389
15	47117	17	47117
17	43998	20	43998
16	59111	28	59111
14	1299	13	1299
16	62015	25	62015
16	57619	17	57619
15	63794	21	63794
14	13354	25	13354
13	1696	13	1696
17	59426	17	59426
15	25965	23	25965
17	47804	22	47804
16	21269	21	21269
16	3597	23	3597
17	60362	19	60362
17	65162	15	65162
11	38009	18	38009
16	55546	21	55546
16	63604	25	63604
15	27699	16	27699
13	2673	15	2673
16	24406	20	24406
16	29685	21	29685
15	24070	18	24070
16	18830	22	18830
17	33104	15	33104
17	58033	21	58033
16	39733	21	39733
13	18693	20	18693
15	11833	15	11833
17	60474	22	60474
15	42161	26	42161
18	55830	20	55830
17	25936	23	25936
14	19812	20	19812
18	24196	28	24196
17	13554	15	13554
17	59957	20	59957
16	13901	20	13901
17	61602	24	61602
15	49382	25	49382
15	16217	16	16217
16	15757	22	15757
12	650	12	650
16	19813	15	19813
18	52470	24	52470
15	65812	26	65812
17	57821	25	57821
16	38015	21	38015
16	35767	25	35767
15	15519	17	15519
16	17039	22	17039
16	60172	24	60172
16	21555	23	21555
16	17461	21	17461
16	9002	13	9002
16	31011	18	31011
17	5493	23	5493
17	25086	18	25086
14	49703	17	49703
16	63678	19	63678
17	61911	24	61911
16	68215	19	68215
15	25859	24	25859
16	17847	19	17847
17	18026	24	18026
18	50055	24	50055
15	7752	29	7752
13	7982	17	7982
17	40307	23	40307
17	69353	18	69353
16	33715	19	33715
16	56524	17	56524
17	61461	20	61461
17	34365	25	34365
17	6336	11	6336
16	43930	21	43930
16	6528	17	6528
17	64157	21	64157
16	58297	24	58297
16	18646	17	18646
16	56027	25	56027
15	5335	14	5335
17	8817	23	8817
16	7582	21	7582
16	69147	27	69147
17	64170	22	64170
15	38592	28	38592
14	4640	17	4640
17	19256	14	19256
16	64646	27	64646
17	68317	17	68317
14	11166	23	11166
17	39212	18	39212
15	5364	12	5364
17	57238	28	57238
15	50581	18	50581
12	13116	22	13116
16	41571	11	41571
16	20888	24	20888
18	58820	16	58820
15	51638	22	51638
14	7411	16	7411
17	50281	16	50281
14	16002	22	16002
16	60098	23	60098
10	562	7	562
16	68881	30	68881
15	30606	13	30606
15	58858	23	58858
16	17526	14	17526
14	16633	19	16633
14	40545	17	40545
14	2694	13	2694
15	566	9	566
15	39691	15	39691
16	66864	20	66864
12	15509	25	15509
14	20682	18	20682
19	62471	20	62471
17	56506	17	56506
13	18998	17	18998
15	49988	29	49988
16	25717	13	25717
16	19525	21	19525
14	55352	24	55352
17	59306	18	59306
17	46457	26	46457
14	44819	22	44819
17	7229	18	7229
16	43696	24	43696
14	33638	26	33638
17	58866	12	58866
17	51106	25	51106
16	60270	23	60270
15	51219	21	51219
16	17556	22	17556
16	60832	21	60832
14	26451	30	26451
15	48161	25	48161
17	26041	24	26041
16	43976	24	43976
16	41145	23	41145
16	66585	19	66585
16	46669	29	46669
16	18062	19	18062
17	12628	18	12628
14	19884	21	19884
16	33570	23	33570
16	33309	11	33309
15	12354	16	12354
17	66427	22	66427
16	28659	17	28659
16	38694	17	38694
18	68496	22	68496
17	48183	26	48183
16	24045	22	24045
15	57801	15	57801
17	991	14	991
15	45215	20	45215
16	41381	24	41381
16	44687	32	44687
18	55204	28	55204
15	30246	22	30246
14	2144	14	2144
16	45474	20	45474
16	57816	25	57816
16	19699	26	19699
14	12657	20	12657
14	14266	18	14266
16	67860	24	67860
17	15049	17	15049
17	58241	21	58241
15	39004	23	39004
16	57986	28	57986
13	11262	20	11262
17	57066	27	57066
11	613	15	613
11	7497	11	7497
17	66987	19	66987
18	10273	17	10273
18	66203	16	66203
18	39766	19	39766
15	38931	22	38931
18	34896	22	34896
14	38261	24	38261
17	63465	21	63465
16	35292	22	35292
17	2413	15	2413
17	64456	23	64456
14	10506	20	10506
16	43794	21	43794
16	39142	19	39142
17	65709	26	65709
14	50391	19	50391
16	41285	29	41285
16	17534	17	17534
14	38207	21	38207
16	37336	12	37336
14	6542	17	6542
16	52472	19	52472
17	35195	17	35195
16	21591	19	21591
13	17065	19	17065
18	50550	26	50550
15	55928	28	55928
17	4678	18	4678
14	13967	15	13967
15	32892	21	32892
14	12174	24	12174
16	57306	27	57306
18	43164	17	43164
14	8376	26	8376
17	27071	17	27071
16	58447	27	58447
15	43271	19	43271
15	41683	18	41683
17	51911	21	51911
17	54914	23	54914
15	44095	17	44095
16	22718	19	22718
16	65419	30	65419
16	64240	18	64240
14	38211	20	38211
17	37480	17	37480
16	44631	21	44631
15	55848	14	55848
15	55013	20	55013
16	59189	18	59189
14	23183	16	23183
14	37907	27	37907
16	41660	18	41660
16	34729	26	34729
13	35849	23	35849
14	35076	23	35076
13	15278	23	15278
15	21776	21	21776
17	39753	19	39753
14	5597	17	5597
15	54667	30	54667
14	28279	22	28279
17	62902	24	62902
13	4182	16	4182
15	13006	18	13006
17	66324	19	66324
17	62628	28	62628
17	56277	16	56277
16	38006	14	38006
12	20891	11	20891
15	17542	17	17542
16	58452	16	58452
16	43608	20	43608
15	12961	18	12961
17	52692	27	52692
16	11819	20	11819
17	50440	23	50440
11	3674	11	3674
17	67666	16	67666
15	11804	23	11804
17	62862	20	62862
17	67200	22	67200
16	49710	22	49710
16	10873	22	10873
16	31928	21	31928
17	61910	24	61910
17	45949	22	45949
17	23557	19	23557
17	13685	16	13685
16	62053	27	62053
16	5505	10	5505
18	68351	24	68351
13	20331	12	20331
17	68406	18	68406
15	48885	20	48885
15	33337	36	33337
19	41081	20	41081
16	41512	24	41512
16	65965	21	65965
17	9086	22	9086
18	62402	26	62402
16	13506	19	13506
14	43890	21	43890
13	12362	24	12362
13	2818	16	2818
18	26581	21	26581
17	24180	23	24180
16	29609	19	29609
16	6606	16	6606
17	68197	19	68197
12	17765	16	17765
17	69467	23	69467
17	41748	19	41748
15	43826	24	43826
16	10339	24	10339
16	3675	18	3675
14	35736	22	35736
15	32639	24	32639
16	3583	18	3583
16	49420	24	49420
16	24692	16	24692
11	9088	20	9088
15	24123	24	24123
15	21374	19	21374
16	53845	17	53845
11	3007	17	3007
16	31062	22	31062
17	24926	17	24926
13	20870	20	20870
13	3378	18	3378
16	10363	18	10363
13	13272	22	13272
15	63236	22	63236
16	30604	24	30604
15	25633	29	25633
16	66053	22	66053
16	33536	23	33536
15	26164	20	26164
15	25662	16	25662
16	40141	20	40141
14	712	10	712
15	19778	16	19778
12	39607	19	39607
16	42459	18	42459
16	63603	23	63603
15	26298	25	26298
14	22485	9	22485
16	29338	17	29338
14	35288	30	35288
16	26067	17	26067
16	8758	15	8758
18	59979	21	59979
12	11506	15	11506
14	9232	20	9232
16	57705	26	57705
15	41703	25	41703
15	12238	19	12238
17	65118	24	65118
18	42980	24	42980
12	9459	24	9459
17	29694	17	29694
16	22730	15	22730
15	61731	15	61731
17	60298	18	60298
16	24714	15	24714
15	57783	20	57783
14	23833	25	23833
16	27229	20	27229
16	59796	24	59796
17	63974	21	63974
15	27940	19	27940
16	9573	22	9573
13	9932	23	9932
17	46750	22	46750
16	3176	15	3176
15	36229	19	36229
16	45586	23	45586
11	8865	21	8865
14	1517	19	1517
11	1653	15	1653
13	17622	19	17622
14	37847	24	37847
16	59510	17	59510
13	3205	13	3205
10	1903	17	1903
15	31212	19	31212
15	15442	23	15442
15	67021	22	67021
15	4191	14	4191
17	1253	11	1253
17	65516	26	65516
15	33885	21	33885
16	23982	11	23982
15	57246	16	57246
15	24182	20	24182
15	25048	22	25048
14	21380	12	21380
16	24366	16	24366
18	52276	22	52276
16	57528	16	57528
16	18339	20	18339
14	56568	26	56568
17	43452	19	43452
17	28271	21	28271
14	9669	15	9669
13	22979	16	22979
16	40851	17	40851
17	55255	19	55255
17	31844	21	31844
16	42367	19	42367
14	33259	20	33259
14	25817	23	25817
14	56566	19	56566
16	22768	16	22768
15	29022	23	29022
18	58468	24	58468
14	30332	24	30332
16	20815	21	20815
17	55488	23	55488
16	10874	15	10874
16	22067	11	22067
16	27355	13	27355
16	44758	22	44758
11	22401	17	22401
15	60952	21	60952
16	45291	15	45291
15	23800	15	23800
13	12332	22	12332
16	69657	29	69657
17	52427	21	52427
15	46211	27	46211
16	64347	20	64347
19	38994	24	38994
17	66014	24	66014
17	68969	17	68969
15	25015	21	25015
16	65345	20	65345
14	39820	27	39820
17	10269	18	10269
15	27188	25	27188
16	58538	19	58538
15	19879	10	19879
16	29356	19	29356
18	45103	16	45103
14	9923	27	9923
16	49329	27	49329
15	31896	20	31896
16	41762	19	41762
16	60203	22	60203
17	53962	18	53962
17	69117	23	69117
18	11312	14	11312
18	52714	18	52714
17	32955	23	32955
12	6513	20	6513
17	48751	22	48751
15	8963	20	8963
16	58940	20	58940
16	1313	13	1313
16	3309	11	3309
13	4285	19	4285
17	67327	25	67327
16	48630	26	48630
14	29299	12	29299
16	62671	19	62671
13	18449	22	18449
15	15919	23	15919
16	66210	25	66210
13	6986	14	6986
13	12149	20	12149
9	1917	11	1917
14	28441	21	28441
15	31147	24	31147
15	36646	20	36646
15	38363	19	38363
15	56827	20	56827
17	68541	21	68541
16	56476	28	56476
17	23381	27	23381
15	28854	20	28854
15	55592	17	55592
15	34693	22	34693
15	11568	17	11568
15	22012	15	22012
17	43999	27	43999
17	64432	26	64432
16	47114	21	47114
15	52961	28	52961
14	53371	20	53371
17	48427	27	48427
17	32621	23	32621
17	34008	25	34008
15	22105	20	22105
15	11250	18	11250
17	63306	21	63306
17	61127	21	61127
13	6050	21	6050
15	55577	26	55577
18	33688	16	33688
14	13036	22	13036
18	67725	21	67725
14	35604	16	35604
16	17828	18	17828
16	5223	17	5223
17	48601	23	48601
16	32542	34	32542
17	62050	22	62050
16	23493	16	23493
15	19017	18	19017
15	15430	20	15430
14	28699	21	28699
13	50961	13	50961
14	26474	26	26474
16	40266	26	40266
14	2972	14	2972
9	472	11	472
13	11049	15	11049
16	26437	20	26437
15	53432	23	53432
15	64420	22	64420
16	4863	10	4863
16	62405	24	62405
16	28427	19	28427
13	3319	21	3319
16	50006	22	50006
15	68084	23	68084
17	64445	24	64445
18	56056	25	56056
17	30012	25	30012
15	4484	18	4484
19	69091	18	69091
16	4089	13	4089
14	16440	25	16440
16	63270	27	63270
16	9311	18	9311
16	65040	22	65040
15	25811	24	25811
12	1360	15	1360
18	64885	22	64885
18	44827	30	44827
17	63142	22	63142
16	23583	17	23583
12	2139	18	2139
14	19615	20	19615
16	40200	17	40200
16	51462	20	51462
16	20087	20	20087
16	51248	22	51248
14	7899	24	7899
16	49870	17	49870
13	22019	20	22019
13	12761	21	12761
12	18626	21	18626
15	50445	25	50445
14	16080	24	16080
16	68632	15	68632
15	24881	20	24881
16	56876	22	56876
14	54687	22	54687
18	54892	20	54892
18	61360	24	61360
16	30129	25	30129
17	58980	15	58980
12	7799	15	7799
15	23398	18	23398
17	44643	23	44643
15	49190	19	49190
14	49208	24	49208
17	46002	21	46002
8	386	12	386
15	15495	20	15495
17	44008	18	44008
17	48877	19	48877
15	35110	21	35110
16	14207	27	14207
16	30338	25	30338
15	31548	17	31548
17	65455	20	65455
15	38236	21	38236
15	57769	19	57769
17	63825	20	63825
15	50997	27	50997
15	52747	24	52747
16	44270	19	44270
16	43428	19	43428
17	51378	29	51378
18	45502	20	45502
15	6655	17	6655
14	12416	20	12416
13	6745	11	6745
16	44366	25	44366
15	42544	28	42544
16	42077	21	42077
16	28516	21	28516
17	65941	25	65941
15	16719	17	16719
17	7706	16	7706
17	21500	20	21500
15	39072	18	39072
17	28131	17	28131
16	68237	26	68237
16	54567	23	54567
14	47113	10	47113
16	66028	20	66028
16	62697	19	62697
15	53803	25	53803
10	3927	8	3927
17	58151	26	58151
14	22038	19	22038
16	61695	19	61695
16	51976	30	51976
17	49386	27	49386
15	44441	20	44441
10	2597	17	2597
18	69165	19	69165
13	2170	16	2170
17	24450	27	24450
15	5820	19	5820
16	14585	24	14585
15	31194	19	31194
15	50185	23	50185
17	57128	24	57128
